,N and C,SAT Bit,Number of SAT Clauses,Hamming distance,Runtime,Number of Dont Care,Number of Iterations,number of absent literals,SAT Bit (MV),Number of SAT Clauses(MV),Hamming distance (MV),Number of Contradictions (WP)
0,"(2, 1)",1.0,2.0,1.0,2.5199999999999915e-06,1.0,7.0,1.0,1.0,2.0,2.0,0.0
1,"(2, 1)",0.0,0.0,2.0,8.988888888888935e-07,0.0,2.0,2.0,1.0,2.0,2.0,0.0
2,"(2, 1)",0.0,0.0,2.0,1.497222222222224e-06,0.0,3.0,1.0,1.0,2.0,2.0,0.0
3,"(2, 1)",0.0,0.0,2.0,1.7405555555555847e-06,0.0,3.0,1.0,1.0,2.0,2.0,0.0
4,"(2, 1)",0.0,0.0,2.0,1.6411111111110562e-06,0.0,2.0,1.0,1.0,2.0,2.0,0.0
5,"(2, 1)",0.0,0.0,2.0,2.5724999999999898e-06,0.0,5.0,1.0,1.0,2.0,2.0,0.0
6,"(2, 1)",1.0,2.0,1.0,3.1258333333333213e-06,1.0,9.0,1.0,1.0,2.0,2.0,0.0
7,"(2, 1)",1.0,2.0,2.0,3.4291666666666807e-06,0.0,31.0,0.0,1.0,2.0,2.0,0.0
8,"(2, 1)",0.0,0.0,2.0,4.789166666666684e-06,0.0,5.0,1.0,1.0,2.0,2.0,0.0
9,"(2, 1)",1.0,2.0,1.0,5.460277777777787e-06,1.0,6.0,0.0,1.0,2.0,2.0,0.0
10,"(2, 1)",0.0,1.0,2.0,1.7105555555555238e-06,0.0,3.0,1.0,1.0,2.0,2.0,0.0
11,"(2, 1)",0.0,0.0,2.0,2.3694444444444856e-06,0.0,7.0,1.0,1.0,2.0,2.0,0.0
12,"(2, 1)",0.0,1.0,2.0,2.1297222222221857e-06,0.0,3.0,0.0,0.0,1.0,2.0,0.0
13,"(2, 1)",0.0,0.0,2.0,1.7180555555555854e-06,0.0,2.0,2.0,1.0,2.0,2.0,0.0
14,"(2, 1)",1.0,2.0,1.0,3.845833333333302e-06,1.0,7.0,1.0,1.0,2.0,2.0,0.0
15,"(2, 1)",0.0,1.0,2.0,2.674722222222253e-06,0.0,2.0,1.0,0.0,1.0,2.0,0.0
16,"(2, 1)",0.0,0.0,2.0,3.3436111111111322e-06,0.0,5.0,1.0,1.0,2.0,2.0,0.0
17,"(2, 1)",0.0,0.0,2.0,7.134444444444456e-06,0.0,5.0,1.0,1.0,2.0,2.0,0.0
18,"(2, 1)",1.0,2.0,0.0,7.587499999999994e-06,2.0,32.0,0.0,0.0,1.0,2.0,0.0
19,"(2, 1)",0.0,0.0,2.0,8.043611111111084e-06,0.0,7.0,1.0,1.0,2.0,2.0,0.0
20,"(2, 2)",0.0,3.0,2.0,6.265555555555561e-06,0.0,10.0,0.0,0.0,3.0,2.0,0.0
21,"(2, 2)",0.0,2.0,2.0,5.464722222222237e-06,0.0,4.0,0.0,0.0,3.0,2.0,0.0
22,"(2, 2)",0.0,2.0,2.0,3.3747222222222127e-06,0.0,3.0,1.0,0.0,3.0,2.0,0.0
23,"(2, 2)",0.0,1.0,2.0,3.7936111111111194e-06,0.0,3.0,1.0,0.0,3.0,2.0,0.0
24,"(2, 2)",0.0,2.0,2.0,4.230555555555577e-06,0.0,3.0,0.0,1.0,4.0,2.0,0.0
25,"(2, 2)",1.0,4.0,2.0,4.922500000000027e-06,0.0,3.0,0.0,1.0,4.0,2.0,0.0
26,"(2, 2)",1.0,4.0,2.0,8.507222222222233e-06,0.0,44.0,0.0,1.0,4.0,2.0,0.0
27,"(2, 2)",1.0,4.0,2.0,9.700555555555588e-06,0.0,4.0,0.0,0.0,3.0,2.0,0.0
28,"(2, 2)",1.0,4.0,1.0,1.0690555555555562e-05,1.0,7.0,0.0,0.0,2.0,2.0,0.0
29,"(2, 2)",1.0,4.0,2.0,1.057888888888889e-05,0.0,5.0,0.0,0.0,3.0,2.0,0.0
30,"(2, 2)",1.0,4.0,2.0,2.894722222222226e-06,0.0,6.0,0.0,1.0,4.0,2.0,0.0
31,"(2, 2)",1.0,4.0,2.0,3.514166666666658e-06,0.0,6.0,0.0,0.0,3.0,2.0,0.0
32,"(2, 2)",0.0,2.0,2.0,3.4644444444444552e-06,0.0,3.0,1.0,0.0,3.0,2.0,0.0
