,N and C,SAT Bit,Number of SAT Clauses,Hamming distance,Runtime,Number of Dont Care,Number of Iterations,number of absent literals,SAT Bit (MV),Number of SAT Clauses(MV),Hamming distance (MV),Number of Contradictions (WP)
0,"(1, 1)",1.0,1.0,1.0,5.324999999999852e-07,0.0,2.0,0.0,0.0,0.0,1.0,0.0
1,"(1, 1)",1.0,1.0,1.0,1.2455555555555367e-06,0.0,2.0,0.0,0.0,0.0,1.0,0.0
2,"(1, 1)",1.0,1.0,1.0,9.508333333333206e-07,0.0,2.0,0.0,1.0,1.0,1.0,0.0
3,"(1, 1)",1.0,1.0,1.0,8.872222222222614e-07,0.0,2.0,0.0,1.0,1.0,1.0,0.0
4,"(1, 1)",1.0,1.0,1.0,5.969444444444324e-07,0.0,2.0,0.0,0.0,0.0,1.0,0.0
5,"(1, 1)",1.0,1.0,1.0,8.341666666666297e-07,0.0,2.0,0.0,0.0,0.0,1.0,0.0
6,"(1, 1)",1.0,1.0,1.0,9.027777777778325e-07,0.0,2.0,0.0,0.0,0.0,1.0,0.0
7,"(1, 1)",1.0,1.0,1.0,1.0249999999999919e-06,0.0,2.0,0.0,1.0,1.0,1.0,0.0
8,"(1, 1)",1.0,1.0,1.0,1.1569444444444373e-06,0.0,2.0,0.0,0.0,0.0,1.0,0.0
9,"(1, 1)",1.0,1.0,1.0,1.2122222222221701e-06,0.0,2.0,0.0,1.0,1.0,1.0,0.0
10,"(1, 1)",1.0,1.0,1.0,1.3238888888889023e-06,0.0,2.0,0.0,0.0,0.0,1.0,0.0
11,"(1, 1)",1.0,1.0,1.0,6.911111111110621e-07,0.0,2.0,0.0,0.0,0.0,1.0,0.0
12,"(1, 1)",1.0,1.0,1.0,7.652777777777953e-07,0.0,2.0,0.0,0.0,0.0,1.0,0.0
13,"(1, 1)",1.0,1.0,1.0,6.952777777777561e-07,0.0,2.0,0.0,0.0,0.0,1.0,0.0
14,"(1, 1)",1.0,1.0,1.0,8.863888888888733e-07,0.0,2.0,0.0,0.0,0.0,1.0,0.0
15,"(1, 1)",1.0,1.0,1.0,1.104166666666684e-06,0.0,2.0,0.0,1.0,1.0,1.0,0.0
16,"(1, 1)",1.0,1.0,1.0,1.1866666666666198e-06,0.0,2.0,0.0,1.0,1.0,1.0,0.0
17,"(1, 1)",1.0,1.0,1.0,1.440833333333348e-06,0.0,2.0,0.0,0.0,0.0,1.0,0.0
18,"(1, 1)",1.0,1.0,1.0,1.4977777777777955e-06,0.0,2.0,0.0,0.0,0.0,1.0,0.0
19,"(1, 1)",1.0,1.0,1.0,1.6113888888888737e-06,0.0,2.0,0.0,1.0,1.0,1.0,0.0
20,"(1, 2)",1.0,2.0,1.0,6.005555555555548e-07,0.0,2.0,0.0,0.0,0.0,1.0,0.0
21,"(1, 2)",0.0,1.0,1.0,2.782777777777739e-06,0.0,2.0,0.0,0.0,1.0,1.0,0.0
22,"(1, 2)",0.0,1.0,1.0,2.8258333333333297e-06,0.0,2.0,0.0,0.0,1.0,1.0,0.0
23,"(1, 2)",1.0,2.0,1.0,2.077500000000004e-06,0.0,2.0,0.0,1.0,2.0,1.0,0.0
24,"(1, 2)",0.0,1.0,1.0,1.940277777777783e-06,0.0,2.0,0.0,0.0,1.0,1.0,0.0
25,"(1, 2)",0.0,1.0,1.0,2.2058333333333268e-06,0.0,2.0,0.0,0.0,1.0,1.0,0.0
26,"(1, 2)",1.0,2.0,1.0,2.0424999999999843e-06,0.0,2.0,0.0,1.0,2.0,1.0,0.0
27,"(1, 2)",0.0,1.0,1.0,2.8422222222222276e-06,0.0,2.0,0.0,0.0,1.0,1.0,0.0
28,"(1, 2)",0.0,1.0,1.0,3.0166666666666304e-06,0.0,2.0,0.0,0.0,1.0,1.0,0.0
29,"(1, 2)",0.0,1.0,1.0,3.247777777777788e-06,0.0,2.0,0.0,0.0,1.0,1.0,0.0
30,"(1, 2)",0.0,1.0,1.0,3.2844444444444603e-06,0.0,2.0,0.0,0.0,1.0,1.0,0.0
31,"(1, 2)",1.0,2.0,1.0,8.766666666667108e-07,0.0,2.0,0.0,1.0,2.0,1.0,0.0
32,"(1, 2)",1.0,2.0,1.0,1.2119444444444768e-06,0.0,2.0,0.0,0.0,0.0,1.0,0.0
33,"(1, 2)",0.0,1.0,1.0,1.6125000000000167e-06,0.0,2.0,0.0,0.0,1.0,1.0,0.0
34,"(1, 2)",1.0,2.0,1.0,1.0099999999999924e-06,0.0,2.0,0.0,0.0,0.0,1.0,0.0
35,"(1, 2)",1.0,2.0,1.0,1.1480555555555396e-06,0.0,2.0,0.0,0.0,0.0,1.0,0.0
36,"(1, 2)",0.0,1.0,1.0,1.6122222222222618e-06,0.0,2.0,0.0,0.0,1.0,1.0,0.0
37,"(1, 2)",1.0,2.0,1.0,1.4011111111111246e-06,0.0,2.0,0.0,0.0,0.0,1.0,0.0
38,"(1, 2)",0.0,1.0,1.0,1.948333333333293e-06,0.0,2.0,0.0,0.0,1.0,1.0,0.0
39,"(1, 2)",0.0,1.0,1.0,1.9733333333333332e-06,0.0,2.0,0.0,0.0,1.0,1.0,0.0
40,"(1, 20)",0.0,8.0,1.0,6.330833333333335e-06,0.0,2.0,0.0,0.0,8.0,1.0,0.0
41,"(1, 20)",0.0,12.0,1.0,6.280277777777744e-06,0.0,2.0,0.0,0.0,12.0,1.0,0.0
42,"(1, 20)",0.0,12.0,1.0,6.4963888888889015e-06,0.0,2.0,0.0,0.0,8.0,1.0,0.0
43,"(1, 20)",0.0,11.0,1.0,6.427500000000006e-06,0.0,2.0,0.0,0.0,11.0,1.0,0.0
44,"(1, 20)",0.0,8.0,1.0,7.1291666666666804e-06,0.0,2.0,0.0,0.0,8.0,1.0,0.0
45,"(1, 20)",0.0,8.0,1.0,7.196111111111107e-06,0.0,2.0,0.0,0.0,8.0,1.0,0.0
46,"(1, 20)",0.0,15.0,1.0,7.677500000000053e-06,0.0,2.0,0.0,0.0,15.0,1.0,0.0
47,"(1, 20)",0.0,10.0,1.0,7.897777777777781e-06,0.0,2.0,0.0,0.0,10.0,1.0,0.0
48,"(1, 20)",0.0,10.0,1.0,7.940555555555556e-06,0.0,2.0,0.0,0.0,10.0,1.0,0.0
49,"(1, 20)",0.0,11.0,1.0,8.404166666666645e-06,0.0,2.0,0.0,0.0,11.0,1.0,0.0
50,"(1, 20)",0.0,9.0,1.0,8.449722222222214e-06,0.0,2.0,0.0,0.0,11.0,1.0,0.0
51,"(1, 20)",0.0,9.0,1.0,3.6544444444444293e-06,0.0,2.0,0.0,0.0,9.0,1.0,0.0
52,"(1, 20)",0.0,12.0,1.0,3.959444444444441e-06,0.0,2.0,0.0,0.0,8.0,1.0,0.0
53,"(1, 20)",0.0,11.0,1.0,4.476111111111101e-06,0.0,2.0,0.0,0.0,11.0,1.0,0.0
54,"(1, 20)",0.0,10.0,1.0,4.494722222222222e-06,0.0,2.0,0.0,0.0,10.0,1.0,0.0
55,"(1, 20)",0.0,12.0,1.0,4.4205555555555514e-06,0.0,2.0,0.0,0.0,12.0,1.0,0.0
56,"(1, 20)",0.0,12.0,1.0,4.636388888888892e-06,0.0,2.0,0.0,0.0,8.0,1.0,0.0
57,"(1, 20)",0.0,9.0,1.0,5.2652777777777935e-06,0.0,2.0,0.0,0.0,11.0,1.0,0.0
58,"(1, 20)",0.0,9.0,1.0,5.568333333333336e-06,0.0,2.0,0.0,0.0,9.0,1.0,0.0
59,"(1, 20)",0.0,9.0,1.0,5.5983333333333345e-06,0.0,2.0,0.0,0.0,11.0,1.0,0.0
60,"(1, 15)",0.0,5.0,1.0,1.1747500000000023e-05,0.0,2.0,0.0,0.0,10.0,1.0,0.0
61,"(1, 15)",0.0,5.0,1.0,4.271944444444453e-06,0.0,2.0,0.0,0.0,5.0,1.0,0.0
62,"(1, 15)",0.0,5.0,1.0,4.324444444444452e-06,0.0,2.0,0.0,0.0,5.0,1.0,0.0
63,"(1, 15)",0.0,8.0,1.0,4.37194444444443e-06,0.0,2.0,0.0,0.0,8.0,1.0,0.0
64,"(1, 15)",0.0,8.0,1.0,4.804722222222193e-06,0.0,2.0,0.0,0.0,8.0,1.0,0.0
65,"(1, 15)",0.0,9.0,1.0,5.037222222222248e-06,0.0,2.0,0.0,0.0,6.0,1.0,0.0
66,"(1, 15)",0.0,9.0,1.0,5.087500000000023e-06,0.0,2.0,0.0,0.0,9.0,1.0,0.0
67,"(1, 15)",0.0,10.0,1.0,5.287777777777793e-06,0.0,2.0,0.0,0.0,10.0,1.0,0.0
68,"(1, 15)",0.0,12.0,1.0,5.5247222222222345e-06,0.0,2.0,0.0,0.0,12.0,1.0,0.0
69,"(1, 15)",0.0,5.0,1.0,5.713333333333372e-06,0.0,2.0,0.0,0.0,10.0,1.0,0.0
70,"(1, 15)",0.0,10.0,1.0,4.120555555555559e-06,0.0,2.0,0.0,0.0,5.0,1.0,0.0
71,"(1, 15)",0.0,5.0,1.0,7.016666666666622e-06,0.0,2.0,0.0,0.0,10.0,1.0,0.0
72,"(1, 15)",0.0,6.0,1.0,4.7738888888888676e-06,0.0,2.0,0.0,0.0,9.0,1.0,0.0
73,"(1, 15)",0.0,6.0,1.0,5.0888888888889204e-06,0.0,2.0,0.0,0.0,9.0,1.0,0.0
74,"(1, 15)",0.0,9.0,1.0,5.978333333333344e-06,0.0,2.0,0.0,0.0,9.0,1.0,0.0
75,"(1, 15)",0.0,8.0,1.0,5.971388888888917e-06,0.0,2.0,0.0,0.0,7.0,1.0,0.0
