,N and C,SAT Bit,Number of SAT Clauses,Hamming distance,Runtime,Number of Dont Care,Number of Iterations,number of absent literals,SAT Bit (MV),Number of SAT Clauses(MV),Hamming distance (MV),Number of Contradictions (WP)
0,"(5, 20)",0.0,85.0,5.0,5.822500000000002e-05,0.0,4.0,0.0,0.0,86.0,5.0,216.0
1,"(5, 20)",0.0,86.0,5.0,5.3555000000000005e-05,0.0,4.0,0.0,0.0,81.0,5.0,248.0
2,"(5, 20)",0.0,79.0,5.0,8.154861111111108e-05,0.0,7.0,0.0,0.0,88.0,5.0,242.0
3,"(5, 20)",0.0,79.0,5.0,0.00011920944444444445,0.0,3.0,0.0,0.0,83.0,5.0,235.0
4,"(5, 20)",0.0,71.0,5.0,0.00011916805555555558,0.0,2.0,0.0,0.0,84.0,5.0,154.0
5,"(5, 20)",0.0,80.0,5.0,0.0004555519444444445,0.0,16.0,0.0,0.0,85.0,5.0,262.0
6,"(5, 20)",0.0,74.0,5.0,0.0003254786111111111,0.0,7.0,0.0,0.0,85.0,5.0,247.0
7,"(5, 20)",0.0,78.0,5.0,0.0002629461111111111,0.0,8.0,0.0,0.0,82.0,5.0,354.0
8,"(5, 20)",0.0,83.0,5.0,0.00012773000000000022,0.0,3.0,0.0,0.0,85.0,5.0,258.0
9,"(5, 20)",0.0,78.0,5.0,0.00025635499999999994,0.0,9.0,0.0,0.0,85.0,5.0,326.0
10,"(5, 20)",0.0,84.0,5.0,0.012771925555555556,0.0,1000.0,0.0,0.0,82.0,5.0,0.0
11,"(5, 20)",0.0,75.0,5.0,3.788166666666568e-05,0.0,3.0,0.0,0.0,85.0,5.0,219.0
12,"(5, 20)",0.0,73.0,5.0,3.534361111111137e-05,0.0,3.0,0.0,0.0,86.0,5.0,304.0
13,"(5, 20)",0.0,74.0,5.0,2.524000000000094e-05,0.0,2.0,0.0,0.0,84.0,5.0,192.0
14,"(5, 20)",0.0,80.0,5.0,0.00027480000000000023,0.0,9.0,0.0,0.0,81.0,5.0,251.0
15,"(5, 20)",0.0,81.0,5.0,0.0001943663888888874,0.0,6.0,0.0,0.0,87.0,5.0,208.0
16,"(5, 20)",0.0,82.0,5.0,0.00010511111111111089,0.0,3.0,0.0,0.0,78.0,5.0,293.0
17,"(5, 20)",0.0,80.0,5.0,0.00011419194444444416,0.0,4.0,0.0,0.0,81.0,5.0,243.0
18,"(5, 20)",0.0,76.0,5.0,0.021180170555555558,0.0,1000.0,0.0,0.0,85.0,5.0,0.0
19,"(5, 20)",0.0,85.0,5.0,0.02200868472222222,0.0,1000.0,0.0,0.0,80.0,5.0,0.0
