,N and C,SAT Bit,Number of SAT Clauses,Hamming distance,Runtime,Number of Dont Care,Number of Iterations,number of absent literals,SAT Bit (MV),Number of SAT Clauses(MV),Hamming distance (MV),Number of Contradictions (WP)
0,"(4, 4)",0.0,140.0,62.0,0.00016044305555555557,2.0,2.0,0.0,0.0,71.0,64.0,0.0
1,"(4, 4)",0.0,137.0,62.0,0.00015654000000000002,2.0,2.0,0.0,0.0,71.0,64.0,0.0
2,"(4, 4)",0.0,139.0,61.0,0.0012274216666666668,3.0,2.0,0.0,0.0,71.0,64.0,0.0
3,"(4, 4)",0.0,142.0,63.0,0.0012374011111111111,1.0,2.0,0.0,0.0,71.0,64.0,0.0
4,"(4, 4)",0.0,137.0,63.0,0.001238046111111111,1.0,2.0,0.0,0.0,71.0,64.0,0.0
5,"(4, 4)",0.0,142.0,62.0,0.0012373711111111111,2.0,2.0,0.0,0.0,70.0,64.0,0.0
6,"(4, 4)",0.0,131.0,62.0,0.0012427919444444443,2.0,2.0,0.0,0.0,71.0,64.0,0.0
7,"(4, 4)",0.0,141.0,63.0,0.0012475661111111113,1.0,2.0,0.0,0.0,71.0,64.0,0.0
8,"(4, 4)",0.0,135.0,62.0,0.0012449252777777778,2.0,2.0,0.0,0.0,71.0,64.0,0.0
9,"(4, 4)",0.0,129.0,62.0,0.0012468936111111112,2.0,2.0,0.0,0.0,71.0,64.0,0.0
10,"(4, 4)",0.0,142.0,58.0,0.00016530916666666654,6.0,2.0,0.0,0.0,71.0,64.0,0.0
11,"(4, 4)",0.0,133.0,61.0,0.00027783027777777795,3.0,2.0,0.0,0.0,71.0,64.0,0.0
12,"(4, 4)",0.0,146.0,60.0,0.0002910761111111109,4.0,2.0,0.0,0.0,71.0,64.0,0.0
13,"(4, 4)",0.0,144.0,61.0,0.0004358138888888891,3.0,2.0,0.0,0.0,71.0,64.0,0.0
14,"(4, 4)",0.0,136.0,62.0,0.00028698444444444447,2.0,2.0,0.0,0.0,71.0,64.0,0.0
15,"(4, 4)",0.0,134.0,57.0,0.0005549552777777775,7.0,2.0,0.0,0.0,71.0,64.0,0.0
16,"(4, 4)",0.0,137.0,62.0,0.00042306305555555576,2.0,2.0,0.0,0.0,71.0,64.0,0.0
17,"(4, 4)",0.0,134.0,60.0,0.0006674705555555555,4.0,2.0,0.0,0.0,71.0,64.0,0.0
18,"(4, 4)",0.0,146.0,62.0,0.0006791019444444446,2.0,2.0,0.0,0.0,70.0,64.0,0.0
19,"(4, 4)",0.0,142.0,61.0,0.0006861425000000003,3.0,2.0,0.0,0.0,71.0,64.0,0.0
