,N and C,SAT Bit,Number of SAT Clauses,Hamming distance,Runtime,Number of Dont Care,Number of Iterations,number of absent literals,SAT Bit (MV),Number of SAT Clauses(MV),Hamming distance (MV),Number of Contradictions (WP)
0,"(2, 1)",0.0,11.0,8.0,7.647222222222237e-07,0.0,2.0,0.0,0.0,16.0,8.0,0.0
1,"(2, 1)",0.0,12.0,8.0,8.241666666666505e-07,0.0,2.0,0.0,0.0,16.0,8.0,0.0
2,"(2, 1)",0.0,18.0,8.0,1.8922222222221717e-06,0.0,2.0,0.0,0.0,16.0,8.0,0.0
3,"(2, 1)",0.0,14.0,8.0,7.230555555555308e-07,0.0,2.0,0.0,0.0,16.0,8.0,0.0
4,"(2, 1)",0.0,16.0,8.0,7.038888888888989e-07,0.0,2.0,0.0,0.0,16.0,8.0,0.0
5,"(2, 1)",0.0,10.0,8.0,6.397222222222066e-07,0.0,2.0,0.0,0.0,16.0,8.0,0.0
6,"(2, 1)",0.0,12.0,8.0,1.6605555555555664e-06,0.0,2.0,0.0,0.0,16.0,8.0,0.0
7,"(2, 1)",0.0,13.0,8.0,7.255555555555719e-07,0.0,2.0,0.0,0.0,16.0,8.0,0.0
8,"(2, 1)",0.0,16.0,8.0,6.377777777777988e-07,0.0,2.0,0.0,0.0,16.0,8.0,0.0
9,"(2, 1)",0.0,12.0,8.0,6.308333333333705e-07,0.0,2.0,0.0,0.0,16.0,8.0,0.0
10,"(2, 1)",0.0,16.0,8.0,1.795277777777746e-06,0.0,2.0,0.0,0.0,16.0,8.0,0.0
11,"(2, 1)",0.0,15.0,8.0,6.566666666666758e-07,0.0,2.0,0.0,0.0,16.0,8.0,0.0
12,"(2, 1)",0.0,10.0,8.0,6.430555555555742e-07,0.0,2.0,0.0,0.0,16.0,8.0,0.0
13,"(2, 1)",0.0,15.0,8.0,6.208333333333298e-07,0.0,2.0,0.0,0.0,16.0,8.0,0.0
14,"(2, 1)",0.0,15.0,8.0,6.655555555555735e-07,0.0,2.0,0.0,0.0,16.0,8.0,0.0
15,"(2, 1)",0.0,15.0,8.0,6.802777777777565e-07,0.0,2.0,0.0,0.0,16.0,8.0,0.0
16,"(2, 1)",0.0,10.0,8.0,1.6291666666666691e-06,0.0,2.0,0.0,0.0,16.0,8.0,0.0
17,"(2, 1)",0.0,12.0,8.0,6.386111111110636e-07,0.0,2.0,0.0,0.0,16.0,8.0,0.0
18,"(2, 1)",0.0,11.0,8.0,6.819444444444094e-07,0.0,2.0,0.0,0.0,16.0,8.0,0.0
19,"(2, 1)",0.0,10.0,8.0,7.152777777777761e-07,0.0,2.0,0.0,0.0,16.0,8.0,0.0
20,"(2, 2)",0.0,13.0,8.0,6.858333333332868e-07,0.0,2.0,0.0,0.0,16.0,8.0,0.0
21,"(2, 2)",0.0,14.0,8.0,9.388888888888719e-07,0.0,2.0,0.0,0.0,16.0,8.0,0.0
22,"(2, 2)",0.0,14.0,8.0,7.302777777777757e-07,0.0,2.0,0.0,0.0,16.0,8.0,0.0
23,"(2, 2)",0.0,17.0,8.0,1.6791666666666267e-06,0.0,2.0,0.0,0.0,16.0,8.0,0.0
24,"(2, 2)",0.0,17.0,8.0,8.177777777777938e-07,0.0,2.0,0.0,0.0,16.0,8.0,0.0
25,"(2, 2)",0.0,16.0,8.0,6.947222222221846e-07,0.0,2.0,0.0,0.0,16.0,8.0,0.0
26,"(2, 2)",0.0,17.0,8.0,6.313888888888804e-07,0.0,2.0,0.0,0.0,16.0,8.0,0.0
27,"(2, 2)",0.0,15.0,8.0,6.780555555555321e-07,0.0,2.0,0.0,0.0,16.0,8.0,0.0
28,"(2, 2)",0.0,14.0,8.0,6.483333333332879e-07,0.0,2.0,0.0,0.0,16.0,8.0,0.0
29,"(2, 2)",0.0,14.0,8.0,6.433333333333291e-07,0.0,2.0,0.0,0.0,16.0,8.0,0.0
30,"(2, 2)",0.0,16.0,8.0,6.355555555555127e-07,0.0,2.0,0.0,0.0,16.0,8.0,0.0
31,"(2, 2)",0.0,15.0,8.0,6.772222222222056e-07,0.0,2.0,0.0,0.0,16.0,8.0,0.0
32,"(2, 2)",0.0,18.0,8.0,6.802777777777565e-07,0.0,2.0,0.0,0.0,16.0,8.0,0.0
33,"(2, 2)",0.0,15.0,8.0,9.5277777777779e-07,0.0,2.0,0.0,0.0,16.0,8.0,0.0
34,"(2, 2)",0.0,15.0,8.0,6.46111111111125e-07,0.0,2.0,0.0,0.0,16.0,8.0,0.0
35,"(2, 2)",0.0,17.0,8.0,7.091666666666743e-07,0.0,2.0,0.0,0.0,16.0,8.0,0.0
36,"(2, 2)",0.0,18.0,8.0,7.108333333333272e-07,0.0,2.0,0.0,0.0,16.0,8.0,0.0
37,"(2, 2)",0.0,17.0,8.0,6.494444444444309e-07,0.0,2.0,0.0,0.0,16.0,8.0,0.0
38,"(2, 2)",0.0,17.0,8.0,6.616666666666962e-07,0.0,2.0,0.0,0.0,16.0,8.0,0.0
39,"(2, 2)",0.0,14.0,8.0,6.452777777777986e-07,0.0,2.0,0.0,0.0,16.0,8.0,0.0
